No,楼盘名称,区域位置,价格 (元/平),产权 (年),开发商,物业公司,物业费 (元/平/月),容积率,绿化率（%）
1,华侨城溪山集,渝北,17000.0,50,重庆华侨城实业有限公司,深圳华侨城物业服务有限公司-重庆分公司,3.6,2.9,30.0
2,恒大御景天下,江津,8500.0,50,重庆远拓房地产开发有限公司,恒大金碧物业,3.6,0.62,35.0
3,远洋山水赋,沙坪坝,15000.0,50,重庆远峰置业有限公司,远洋亿家物业管理公司,3.0,1.95,33.0
4,帝岭花园,綦江,11000.0,50,重庆帝岭房地产开发有限公司,重庆枫林秀水物业,2.3,0.3,30.0
5,华侨城云麓台,渝北,19000.0,50,重庆华侨城实业有限公司,深圳华侨城物业服务有限公司-重庆分公司,4.5,1.5,35.0
6,同元御珑苑,长寿,7000.0,50,重庆御珑苑房地产开发有限公司,龙湖物业,2.5,1.6,30.0
7,腾龙居公园华府,江津,7300.0,70,重庆腾龙居实业有限公司,聚龙阁物业有限公司,1.675,2.0,30.0
8,雅居乐富春山居,渝北,16000.0,50,重庆雅恒房地产开发有限公司,雅居乐雅生活服务股份有限公司,3.6,1.26,35.0
9,旭城公园府邸,九龙坡,7700.0,50,重庆旭城置业有限公司,重庆西格玛物业管理有限公司,1.8,1.8,30.0
10,奥山府,北碚,,50,重庆瑞兆置业有限公司,武汉福赛德物业管理有限公司,3.0,1.5,30.0
11,澳海江悦府,涪陵,6300.0,50,重庆澳海汇渠房地产开发有限公司,辽宁澳海物业有限责任公司,1.9,2.0,30.0
12,万科四季花城,北碚,11000.0,50,重庆万宏置业有限公司,成都万科物业服务有限公司重庆分公司,,2.5,30.0
13,财信新界,九龙坡,14000.0,50,财信国兴地产发展股份有限公司,重庆财信物业管理有限公司,3.5,3.0,27.0
14,卓越皇后道,江北,25000.0,50,重庆奔力玖晟房地产开发有限公司,深圳市卓越物业管理股份有限公司,4.0,5.25,25.0
15,南方大学时代,綦江,5000.0,50,重庆南方集团有限公司,南方物管公司,1.75,1.2,46.0
16,重庆泷悦华府,沙坪坝,15000.0,50,重庆六真房地产开发有限公司,电建物业,3.5,1.5,35.0
17,合景泰富映月台,北碚,12855.0,50,"光明地产,重庆奥山房地产开发有限公司",宁骏物业有限公司,3.9,1.5,30.0
18,铺金载水一方,南岸,17000.0,50,重庆铺金房地产开发有限公司,重庆铺金房地产开发有限公司,2.4400000000000004,2.0,30.0
19,东原晴天,沙坪坝,17000.0,50,重庆晶磊房地产开发有限公司,东原物业,2.9,2.5,30.0
20,北城未来,北碚,,50,暂无信息,香港悦华置地物业管理集团,1.0,2.5,30.0
21,海宇中央鑫都,北碚,,50,重庆海宇置业（集团）有限公司,重庆海宇物业管理有限公司,1.5,4.0,30.0
22,佳华北宸里,渝北,,50,重庆佳华物业有限公司,重庆佳华物业管理有限公司,2.7,6.39,15.0
23,国旅颐锦院,北碚,,50,国旅联合重庆颐尚温泉开发有限公司,卡尔森物业顾问,2.8,1.0,40.0
24,南温泉度假小镇,巴南,,50,重庆绿谷开发建设有限公司,重庆豪生物业管理有限公司,2.0,1.5,41.0
25,渝富滨江首岸,沙坪坝,15000.0,50,重庆渝富地产有限公司,重庆渝富地产有限公司,2.7,2.98,30.0
26,仁安里,渝北,,50,重庆仁安置业有限公司,仁安物业管理有限公司,4.0,2.65,30.0
27,融汇半岛水晶公馆,巴南,,50,重庆融华房地产有限公司/重庆融汇实业有限公司,重庆融汇物业管理有限公司,2.5,2.6,16.0
28,重庆永川万达广场,永川,7200.0,50,重庆万达广场置业有限公司,万达物业有限公司,1.4,1.69,21.0
29,国美江天御府,江北,17000.0,50,重庆中房房地产开发有限公司,北京万盛源物业管理有限公司重庆分公司,3.5,1.16,56.0
30,国盛三千城,沙坪坝,,50,重庆国盛物业（集团）有限公司,重庆国强物业管理有限公司,1.8,6.9,30.0
31,金鹏两江时光,渝北,,50,重庆金鹏物业（集团）有限公司,重庆金鹏物业（集团）有限公司,1.6,4.49,35.0
32,中铁山水之韵,南岸,,50,中铁二十局集团房地产开发有限公司,重庆秦渝物业管理有限公司,2.5,1.6,33.0
33,国富沙磁巷,沙坪坝,,50,重庆国富沙磁实业有限公司,重庆国强物业管理有限公司,2.5,4.7,37.0
34,保利山庄梧桐,江北,,50,保利（重庆）投资实业有限公司,保利重庆物业管理有限公司,2.8,0.95,30.0
35,寰宇天下东升府,江北,,50,"中海地产集团有限公司,九龙仓集团有限公司",中海物业,4.2,0.77,35.0
36,奥园水云间,南岸,,50,重庆粤奥置业有限公司,重庆穗奥物业服务有限公司,1.9,1.4,36.0
37,招商晶公馆,渝北,,50,招商局地产（重庆）花园城有限公司,招商局物业管理有限公司重庆分公司,2.2,4.47,30.0
38,升伟中环广场,渝中,,50,重庆伟清房地产开发有限公司,重庆升伟房地产物业有限公司,2.2,3.3,35.0
39,世茂茂悦府,渝北,,50,重庆浚亮房地产开发有限公司,上海南京世茂物业服务公司,3.4,2.5,50.0
40,爱普江城铭著,巴南,14000.0,50,重庆普润房地产开发有限公司,待定,2.8,1.6,35.0
41,中国铁建玖城贰号,九龙坡,17000.0,50,中铁十一局集团重庆房地产开发有限公司,中铁物业,2.2,3.8,35.0
42,紫东国际,渝中,23000.0,50,重庆东畅置业有限公司,上海东昱物业管理有限公司重庆分公司,2.05,9.67,25.0
43,碧桂园天玺湾,涪陵,8550.0,70,重庆碧桂园桥贵房地产开发有限公司,碧桂园物业,2.5,2.18,30.0
44,禹洲雍锦府,北碚,12000.0,50,重庆翔泽房地产开发有限公司,禹洲物业服务有限公司,4.05,1.05,30.0
45,中冶仁和西里,九龙坡,13500.0,50,重庆中冶红城置业有限公司,重庆赛迪物业管理有限公司,2.8,4.25,30.0
46,德感城市广场,江津,4500.0,70,重庆亲禾里房地产开发有限公司,重庆市邦仕物业管理有限公司,1.2,3.0,31.0
47,御景滨江花园,江津,5500.0,50,重庆先壮成房地产开发有限公司,海富物业,1.65,2.23,30.0
48,新城和昱麟云,江津,7000.0,50,重庆东睿房地产开发有限公司,新城悦控股有限公司,2.15,3.0,30.0
49,融景城新融御,江北,22000.0,50,金融街重庆融拓置业有限公司,29.577686,3.0,3.07,25.0
50,东原1891印长江,南岸,50000.0,50,重庆东原地产开发有限公司,重庆新东原物业管理公司,8.25,3.36,30.0
51,汇祥林里3000三期,渝北,,50,重庆汇祥地产发展有限公司,重庆汇祥物业发展有限公司,2.0,2.2,40.0
52,名流印象,北碚,,50,美好置业集团股份有限公司,名流幸福物业,2.6,2.17,35.0
53,建工依山郡,渝北,,40,重庆建工集团房地产开发有限公司,金科物管有限公司,2.65,2.5,30.0
54,恒大御景湾,巴南,,50,重庆恒大鑫鼎置业有限公司,恒大金碧物业,2.3,3.1,30.0
55,国盛园墅,沙坪坝,,50,重庆国盛滨溪房地产开发有限公司,重庆国强物业管理有限公司,3.1,1.2,30.0
56,力帆红星国际广场,渝北,22000.0,50,重庆润田房地产开发有限公司,红星物业公司,3.0,2.76,30.0
57,旅文中央大街,北碚,9600.0,50,重庆旅文建设开发有限公司,重庆瑞庭物业管理有限公司,1.6,3.38,30.0
58,瑞安翠湖天地,渝中,,70,重庆瑞安天地房地产发展有限公司,上海丰诚物业管理有限公司,3.6,5.11,15.0
59,恒大御都会,渝北,,50,恒大地产集团重庆有限公司,金碧物业有限公司重庆分公司,3.0,3.98,30.0
60,国奥村时光漫,江北,,50,重庆国奥实业发展有限公司,重庆国奥村物业服务有限公司,2.5,2.79,31.0
61,华宇上院,渝北,,50,重庆华宇集团有限公司,重庆华宇物业服务有限公司,3.25,2.5,35.0
62,华宇时代星都,沙坪坝,,50,华宇集团·重庆业瑞房地产开发有限公司,重庆华宇物业服务有限公司,2.5,4.0,50.0
63,金科星辰,大渡口,,50,重庆金科房地产开发有限公司,重庆金科物业服务有限公司,2.7,2.07,35.0
64,保利观塘香颂,南岸,,50,重庆葆方房地产开发有限公司,保利重庆物业管理有限公司,3.4,1.1,30.0
65,渝高香洲,九龙坡,,50,重庆渝高科技产业（集团）股份有限公司,成都东景物业管理有限公司,2.8,1.99,54.0
66,蓝光林肯公园,南岸,,50,重庆灿瑞置业有限公司,重庆嘉宝顾问管理有限公司,2.8,2.31,30.0
67,南方书苑湖畔,渝北,,50,重庆南方集团有限公司,重庆南方物业管理有限公司,2.6,2.6,31.0
68,康利尔风花树,巴南,,50,重庆康利尔物业发展有限公司,重庆嘉利安物业管理有限公司,1.8,3.0,36.0
69,华宇阳光尚座,九龙坡,,50,重庆业如房地产开发有限公司,重庆华宇物业服务有限公司,2.5,4.19,36.0
70,欢乐颂,渝北,13000.0,50,重庆泽京吉辉房地产开发有限公司,重庆悦佰家物业管理有限公司,,2.56,30.0
71,巨龙江山国际,江北,,50,重庆巨龙实业有限公司,重庆渝凰物业管理有限公司,1.8,1.8,30.0
72,嘉悦江庭,渝北,,50,重庆两江商务中心置业有限公司,重庆悦来兴城资产经营管理有限公司,2.6,2.5,30.0
73,隆鑫爱琴海,北碚,,50,重庆隆鑫锐智投资发展有限公司,重庆隆鑫物业管理有限公司,3.0,1.8,35.0
74,联发公园里,九龙坡,,50,联发集团重庆房地产开发有限公司,联发集团联发物业公司,2.0,2.0,50.0
75,中核鹅岭一品,渝中,,50,重庆亚峰房地产开发有限公司,重庆盛迪亚物业管理有限公司,1.5,4.93,37.0
76,金瓯理工国际,渝北,8155.0,50,重庆金瓯房地产开发有限公司,重庆赤服物业管理有限公司,1.6,2.5,34.0
77,里面,渝中,,50,重庆大宇房地产开发有限公司,重庆金科物业公司,3.2,5.89,25.0
78,新江与城清晖时光,渝北,,50,重庆龙湖地产发展有限公司,重庆龙湖物业管理有限公司,3.5,1.6,40.0
79,融汇半岛观江,巴南,,50,重庆融华房地产有限公司,重庆融汇物业管理有限公司,2.6,2.03,30.0
80,财信铂雲府,九龙坡,19000.0,50,重庆兴财茂置业有限公司,重庆财信物业管理有限公司,3.0,2.68,30.0
81,金沙御景,綦江,7200.0,50,重庆四联房地产开发有限公司,君航物业公司,2.2,1.2,46.0
82,雨亭淞江水岸,綦江,4500.0,50,重庆市綦江区雨亭房地产开发有限公司,重庆兴宇物业管理有限公司,1.3,2.6,30.0
83,水岸花都,江津,6200.0,50,重庆市都美成房地产开发有限责任公司,重庆斌鑫物业管理公司,1.1,2.97,32.0
84,嘉阅滨江,沙坪坝,15000.0,50,"重庆东博智合房地产开发有限公司,重庆励东融合房地产开发有限公司",东原物业,2.9,2.5,30.0
85,三特凤鸣朝阳,沙坪坝,12700.0,50,重庆三特实业有限公司,成都万科物业服务有限公司,2.6,5.0,30.0
86,蓝光芙蓉公馆,渝北,16000.0,50,重庆宇晟置业有限公司,重庆嘉宝管理顾问有限公司,2.9,2.72,30.0
87,保亿御景玖园,北碚,14000.0,50,保亿荣钰重庆房地产开发有限公司,保亿物业,3.15,1.5,35.0
88,合谊榕府,长寿,5200.0,50,重庆丰容房地产有限公司,合谊物业,1.6,2.5,35.0
89,中伦金海岸,渝北,19000.0,50,重庆中伦物业发展有限公司,重庆集美嘉铭物业管理有限公司,3.1,2.0,30.0
90,汇景铂庭,沙坪坝,,50,重庆汇东房地产开发有限公司,重庆永乐物业管理有限公司,1.6,3.0,30.0
91,凤凰湾,江北,,50,重庆宏帆实业有限公司,重庆宏帆实业有限公司,2.2,2.93,35.0
92,海宇西苑,北碚,,50,重庆海宇置业（集团）有限公司,重庆海宇物业管理有限公司,1.8,2.0,32.0
93,招商依云江湾,巴南,,50,重庆招商依云房地产有限公司,招商局物业管理有限公司重庆分公司,2.8,1.1,35.0
94,金辉御江府,南岸,,50,重庆金辉长江房地产有限公司,北京金辉锦江物业服务有限公司（重庆分公司）,3.0,3.18,35.0
95,美利山公园城市,渝北,18000.0,50,重庆首钢房地产开发有限公司,重庆美利山物业服务有限公司,1.9,1.5,60.0
96,海志观月山水,渝北,,50,重庆海志实业有限公司,重庆高博物业服务公司,2.2,2.5,36.0
97,融汇半岛C公馆,巴南,,50,重庆融华房地产有限公司/重庆融汇实业有限公司,重庆融汇物业管理有限公司,2.2,3.9,30.0
98,融汇温泉城童话里,沙坪坝,,50,重庆融汇投资有限公司,重庆融汇物业管理有限公司,2.5,4.0,32.0
99,曦圆青岗湾,巴南,,50,重庆曦圆房地产开发有限公司,重庆欣意物业管理有限公司,1.95,3.0,30.0
100,萱花与山府,永川,5000.0,50,重庆市竣发房地产开发有限公司,待定,1.75,2.5,30.0
101,黛山道8号,璧山,8000.0,50,重庆美城金房地产开发有限公司,金科物业,2.5,2.0,35.0
102,桓大绿岛名都,璧山,9500.0,50,重庆市桓大建设集团房地产开发有限公司,重庆桓威物业管理有限公司,2.2,1.8,30.0
103,升伟云熙台,璧山,8000.0,50,重庆市璧山区伟清房地产开发有限公司,鸿果物业管理有限公司,2.6,1.5,35.0
104,御华兰亭,巴南,9300.0,50,重庆星界置业有限公司,福州融侨物业管理有限公司,3.05,2.26,35.0
105,华宇旭辉御璟湖山,渝北,22000.0,50,重庆华宇盛泰房地产开发有限公司,重庆华宇物业服务有限公司,3.5,2.72,30.0
106,龙湖星图,渝北,19000.0,50,重庆龙湖地产发展有限公司,龙湖物业,3.5,0.6,60.0
107,重庆天地翡翠云阶,渝中,23000.0,70,重庆瑞安天地房地产发展有限公司,成都万科物业服务有限公司,3.5,8.56,35.0
108,奥园金澜湾,綦江,6500.0,50,重庆博昂置业有限公司,广州奥园物业服务有限公司重庆分公司,2.2,1.2,50.0
109,龙湖嘉天下,巴南,12000.0,50,重庆龙湖朗晟房地产开发有限公司,重庆龙湖物业管理有限公司,2.8,1.2,35.0
110,两江名苑伯克林,渝北,,50,重庆辰伊置业有限公司,重庆新仁和物业管理有限公司,3.0,2.0,35.0
111,财信沙滨城市,沙坪坝,,50,重庆弘信房地产开发有限公司,重庆财信物业管理有限公司,2.2,3.89,30.0
112,桥达蓝湾半岛,渝北,15000.0,50,重庆作平置业有限公司,重庆市桥达物业有限公司,1.85,2.5,30.0
113,弘悦101,九龙坡,14500.0,50,重庆弘悦置业有限公司,重庆致兴物业服务有限公司,2.2,3.5,25.0
114,双山世家,九龙坡,,50,重庆都康置业有限公司,重庆美和物业管理有限公司,2.0,2.0,30.0
115,恒大未来城,沙坪坝,,50,重庆开阳房地产开发有限公司,金碧物业管理有限公司,2.5,3.0,40.0
116,江厦星光汇,九龙坡,,50,重庆江厦徐汇置业有限公司,重庆小康物业有限责任公司,2.5,4.22,12.0
117,和泓江山国际,渝中,,50,重庆和泓嘉业投资有限公司,重庆和泓物业服务有限公司,2.8,5.44,25.0
118,天晋,渝北,,50,重庆市都凯润房地产开发有限公司,重庆赛和物业管理有限公司,2.5,2.5,35.0
119,中房那里,九龙坡,,50,重庆中房嘉汇房地产开发有限公司,中交物业,1.8,4.0,35.0
120,奥体中央公园,涪陵,5700.0,50,重庆广驰投资有限公司,圣兴物业,1.5,2.14,35.0
121,万科金域学府,南岸,,50,"万科（重庆）房地产有限公司,重庆云畔置业有限公司",万科物业有限公司,3.4,3.46,31.0
122,启迪协信星麓原,巴南,,50,重庆远沛房地产开发有限公司,重庆天骄爱生活服务股份有限公司,3.5,2.5,35.0
123,中交中央公园,渝北,16000.0,50,重庆中交西南置业有限公司,重庆绿城物业管理有限公司,3.5,2.71,32.0
124,华融现代城,江北,12000.0,50,重庆华融置富房地产开发有限责任公司,重庆桦澳物业管理有限公司,2.0,3.99,30.0
125,升伟一里南滨,南岸,20000.0,50,重庆伟清房地产开发有限公司,重庆鸿果物业管理有限公司,3.0,3.5,35.0
126,金科金辉博翠山,北碚,,50,重庆金佳禾房地产开发有限公司,重庆金科物业服务有限公司,3.15,1.3,35.0
127,和玉天籁城,永川,5200.0,50,重庆和玉房地产开发有限公司,重庆四阳物业管理有限公司,1.5,3.47,45.0
128,融创九棠府,渝北,,50,重庆乐视界置业发展有限公司,重庆融创物业管理有限公司,3.3,1.6,30.0
129,西派城,江北,,50,中铁房地产集团重庆有限公司,中铁建物业管理有限公司重庆分公司,4.2,3.9,35.0
130,恒大轨道时代,渝北,17000.0,50,恒大地产重庆有限公司,恒大金碧物业,3.0,2.92,30.0
131,万科翡翠公园,渝北,19500.0,50,重庆柯航置业有限公司,成都万科物业服务有限公司重庆分公司,4.0,2.0,30.0
132,朗基水印三生,沙坪坝,15000.0,50,重庆朗汇房地产开发有限公司,重庆朗基物业服务有限公司,3.5,1.5,35.0
133,璟樾云山,巴南,,50,重庆卓越房地产开发公司,新希望鼎盛物业,2.6,2.5,35.0
134,远洋朗基枫桦四季,沙坪坝,12000.0,50,重庆市远朗溥天房地产开发有限公司,重庆腾基物业管理有限公司,3.3,2.5,35.0
135,象屿观悦府,渝北,,50,象屿地产集团有限公司,象屿物业管理有限公司,3.0,4.31,35.0
136,恒产锦绣江南,万州,8500.0,70,重庆恒产房地产开发有限公司,重庆市亘恒物业管理有限公司,1.6,2.5,36.0
137,俊豪城,璧山,9000.0,50,重庆璧晖实业有限公司,重庆俊豪物业管理有限责任公司璧山分公司,2.3,1.86,35.0
138,华润置地润西山,沙坪坝,11000.0,50,重庆华润置地发展有限公司,华润物业,2.9,2.3,30.0
139,康田澜山樾,南岸,14000.0,50,重庆康田米源房地产开发有限公司,重庆康田资产管理有限公司,3.5,1.5,30.0
140,碧桂园翡翠世家,南川,6000.0,50,重庆鹏碧房地产开发有限公司,广东碧桂园物业服务股份有限公司重庆南川分公司,2.55,2.33,41.0
141,裕城长江著,江津,7400.0,70,重庆市江津区裕城瑞博置业有限公司,龙湖物业,2.0,2.64,35.0
142,阳光100阿尔勒,巴南,9800.0,50,重庆嘉道房地产开发有限公司,重庆豪生物业管理有限公司,2.8,1.05,40.0
143,金隅新都会,南岸,15000.0,50,重庆金隅地产集团,上海永升物业管理有限公司重庆分公司,2.8,3.0,35.0
144,云鼎栖山1号院,九龙坡,6000.0,50,重庆创大地产集团有限公司,重庆恒顿云鼎物业管理有限公司,1.9,3.0,30.0
145,棕榈泉壹号,渝北,29000.0,40,重庆棕榈泉房地产开发有限公司,重庆棕榈泉联英物业服务有限公司,12.0,6.13,30.0
146,融侨首玺,南岸,23500.0,50,重庆融侨锦江房地产开发有限公司,融侨物业,3.8,2.5,35.0
147,华福58,九龙坡,12000.0,50,重庆泽笙实业有限公司,重庆泽笙实业有限公司,2.1,2.5,30.0
148,万科彩云湖,九龙坡,22000.0,50,重庆上彩置业有限公司,成都万科物业服务有限公司重庆分公司,3.0,2.5,35.0
149,融堃港城小时代,江北,,50,重庆市利百旺房地产开发有限公司,重庆融臻物业管理有限公司,2.1,4.0,30.0
150,融创白象街,渝中,,50,重庆融创凯旋置业有限公司,重庆融创物业管理有限公司,4.0,4.0,25.0
151,北城阳光尚线,渝北,,50,重庆致恒置地有限公司,重庆北城物业管理有限公司,2.85,5.1,30.0
152,鲁能南渝星城,巴南,8200.0,50,重庆鲁能（集团）开发有限公司,北京鲁能物业管理有限责任公司重庆分公司,2.4,3.97,35.0
153,金科城,北碚,14000.0,50,重庆金科汇茂房地产开发有限公司,重庆金科物业管理有限公司,3.2,2.65,35.0
154,巴南府邸,巴南,10000.0,50,重庆源聚房地产开放有限公司,重庆居美佳物业管理有限公司,1.8,3.17,30.0
155,金阳第一农场大学城,沙坪坝,,50,重庆南恒置业有限公司,金太阳物业+碧桂园物业,3.0,1.69,35.0
156,骄杨理想城,九龙坡,7300.0,50,重庆骄杨地产有限公司,重庆骄杨物业管理有限公司,1.0,2.0,30.0
157,和威山千院,九龙坡,7500.0,50,重庆和威房地产开发有限公司,重庆吉宇物业管理有限公司,1.6,2.0,30.0
158,天盈首原,南岸,17600.0,50,重庆天盈置地有限公司,香港戴德梁行物业管理有限公司,3.0,2.0,30.0
159,华侨城云溪别院,渝北,,50,重庆华侨城实业发展有限公司,深圳华侨城物业服务有限公司-重庆分公司,4.0,2.62,30.0
160,金融街融御,江北,,50,金融街重庆融拓置业有限公司,北京金融街第一太平戴维斯物业管理有限公司,3.0,2.02,35.0
161,富州新城兰亭,沙坪坝,,50,重庆富州房地产开发有限公司,重庆富州物管公司,2.5,3.5,30.0
162,富州北郡,渝北,,50,重庆润瑞房地产开发有限公司,重庆富州物业管理有限公司,2.0,3.03,30.0
163,华宇龙湾,巴南,,50,重庆华宇集团有限公司,重庆华宇物业服务有限公司,3.25,2.0,40.0
164,保利江上明珠乐园,江北,,50,保利（重庆）投资实业有限公司,保利重庆物业管理有限公司,1.8,4.5,30.0
165,浩博几米阳光,巴南,,50,重庆浩博实业（集团）有限公司,重庆远洋物业管理有限公司,2.5,2.0,30.0
166,远洋城,九龙坡,,50,重庆远基房地产开发有限公司,重庆腾基物业管理有限公司,2.6,4.9,30.0
167,富力湾,渝北,,50,重庆富力嘉盛房地产开发有限公司,广州天力物业有限公司,3.15,1.52,35.0
168,江与城,渝北,,50,重庆兴龙湖置地发展有限公司,重庆新龙湖物业管理有限公司,3.0,1.09,60.0
169,保亿丽景紫园,北碚,,50,保亿置业（重庆）有限公司,浙江保亿物业服务有限公司,2.35,2.0,35.0
170,恒大林溪郡,九龙坡,8300.0,50,上海城开集团重庆德普置业有限公司,恒大金碧物业,2.3,2.5,30.0
