No,楼盘名称,区域位置,价格 (元/平),产权 (年),开发商,物业公司,物业费 (元/平/月),容积率,绿化率（%）
171,中建龙玺台,九龙坡,20000.0,50,重庆中建信和嘉琅置业有限公司,中建物业服务有限公司,3.25,3.5,30.0
172,中建御湖壹号,九龙坡,14500.0,50,重庆天成缘江置业有限公司,江苏万园物业管理有限公司,2.3,3.5,32.0
173,泽科空港中心,渝北,17500.0,50,重庆海上行置业发展有限公司,泽科集团重庆物业服务有限公司,2.9,2.23,27.0
174,君临南山崇德府,南岸,15000.0,50,重庆金瑜盛实业有限公司,重庆助友创美物业管理有限公司,3.0,1.1,38.0
175,桥达茂宸广场,渝北,15000.0,50,重庆市涪陵金宏房地产开发有限公司,重庆市桥达物业有限公司,2.8,3.0,35.0
176,荣安林语春风,大渡口,11600.0,50,重庆康甬置业有限公司,荣安物业,2.9000000000000004,2.79,35.0
177,金辉长江铭著,南岸,19000.0,50,重庆金辉长江房地产有限公司,北京金辉锦江物业服务有限公司（重庆分公司）,3.5,2.38,35.0
178,弘阳时光澜庭,九龙坡,8800.0,50,重庆柏景铭厦置业有限公司,南京弘阳物业管理有限公司,2.6,3.0,35.0
179,重庆合景誉峰,渝北,22500.0,50,重庆凯竣房地产开发有限公司,广州市宁骏物业管理有限公司重庆分公司,3.6,2.5,30.0
180,桥达天蓬樾府,渝北,14000.0,50,重庆桥达茂宸房地产开发有限公司,重庆市桥达物业有限公司,3.5,1.2,30.0
181,恒大中央广场,江北,20000.0,50,重庆恒大鑫溉置业有限公司,金碧物业有限公司重庆分公司,3.0,6.44,34.0
182,恒大御龙天峰,江北,,50,重庆尖置房地产有限公司,恒大金碧物业管理有限公司,3.0,4.2,30.0
183,龙湖新壹街,江北,27000.0,50,重庆龙湖嘉凯地产开发有限公司,重庆集美嘉铭物业管理股份有限公司,4.9,5.2,25.0
184,两江春城,江北,,50,重庆中华置业有限公司,戴德梁行物业顾问云玺物业管理有限公司,3.0,2.45,33.0
185,中交锦悦,巴南,12000.0,50,重庆中交置业有限公司,中交物管公司,2.4,2.47,30.0
186,恒大世纪城,渝北,16800.0,50,重庆永利置业有限公司,恒大金碧物业,2.8,2.5,30.0
187,华美翡丽山,江北,,50,重庆华美鼎丰置业有限公司,重庆金科物业公司,3.0,2.19,35.0
188,协信公馆,渝中,30000.0,50,重庆协信控股（集团）有限公司,新域物业,3.5,5.5,25.0
189,绿城两江御园,渝北,14000.0,50,重庆两江新区置业发展有限公司,浙江绿城物业管理有限公司,2.8,1.1,30.0
190,斌鑫江南时代,巴南,,50,重庆斌鑫集团有限公司,重庆斌鑫物业管理有限公司,1.6,2.49,36.0
191,金科空港城,渝北,10770.0,50,重庆金科坤基房地产开发有限公司,重庆金科物业服务有限公司,2.3,2.5,30.0
192,典雅花溪半岛,巴南,8500.0,50,重庆君融置业有限公司,典雅物业有限公司,2.15,1.98,36.0
193,恒大香山华府,九龙坡,,50,重庆恺成房地产开发有限公司,恒大地产集团金碧物业有限公司重庆分公司,2.5,1.89,30.0
194,云飞九龙香山,九龙坡,,50,重庆云飞锦源房地产开发有限公司,重庆云飞物业发展有限公司,2.0,2.5,40.0
195,保利观澜,江北,16000.0,50,保利（重庆）投资实业有限公司,重庆保利物业管理有限公司,2.6,4.28,51.0
196,中辅小时代,九龙坡,,50,重庆远初房地产开发有限公司,重庆景全物业有限公司,2.18,3.99,30.0
197,金辉优步大道,九龙坡,,50,重庆金辉长江房地产有限公司,重庆金辉物业管理有限公司,2.0,4.0,30.0
198,金隅大成时代都汇,南岸,15000.0,50,重庆金隅大成山水置业有限公司,第一太平戴维斯（北京）顾问有限公司,2.0,3.36,33.0
199,居易天城,渝北,,50,重庆市居易房地产开发有限公司,凌峰物业管理公司,1.8,2.5,30.0
200,中国铁建西派时代,巴南,14332.0,50,重庆建联新房地产开发有限公司,中铁建（北京）物业管理有限公司重庆分公司,2.6,3.0,30.0
201,金科集美天宸,永川,5800.0,50,宇涵房地产开发有限公司,金科物业服务集团有限公司,2.3,3.11,35.0
202,奥园天悦湾,北碚,11000.0,50,重庆奥骄房地产开发有限公司,重庆希博物业管理有限公司,1.9,1.94,38.0
203,望山国际,九龙坡,,50,重庆渝铁房地产开发有限责任公司,中铁建（北京）物业管理有限公司,2.8,3.0,30.0
204,金科天壹府,璧山,7500.0,50,重庆金帛藏房地产开发有限公司,金科物业,2.5,2.0,35.0
205,华润琨瑜府,北碚,12000.0,50,重庆华润置地渝新房地产有限公司,华润物业管理有限公司,2.6,2.0,30.0
206,金科集美锦湾,巴南,11000.0,50,重庆南锦联房地产开发有限公司,金科物业服务集团,2.9000000000000004,2.8,35.0
207,万科十七英里,北碚,,50,重庆嘉畔置业有限公司,万科物业发展有限公司,3.29,1.01,35.0
208,中建瑾和城,沙坪坝,14800.0,50,重庆中建信和嘉琅置业有限公司,中建物业服务有限公司,2.8,2.5,30.0
209,润丰领尚,璧山,5000.0,50,重庆吉厦房地产开发有限公司,润丰四季物业有限公司,1.2,1.67,71.0
210,隆鑫盛世普天,九龙坡,,50,重庆晋愉地产股份有限公司,重庆隆鑫物业管理有限公司,3.0,2.5,25.0
211,佳兆业广场,巴南,,50,重庆深联投资有限公司,重庆佳兆业物业管理有限公司,2.2,3.6,30.0
212,嘉和香水湾,永川,6800.0,50,重庆市大仁房地产开发有限公司,第一太平戴维斯（北京）顾问有限公司,1.6,2.5,37.0
213,渝高幸福九里,大渡口,,50,重庆渝高科技产业（集团）股份有限公司,渝高文豪仕酒店管理有限公司,2.3,3.11,31.0
214,中昂彩云台,九龙坡,,50,重庆瀚文实业有限公司,中昂物业管理有限公司重庆分公司,2.7,3.75,30.0
215,普瑞花园,南岸,,50,重庆普瑞置业有限责任公司,重庆大正物业管理有限公司,1.7,2.0,40.0
216,中铁北美时光,南岸,,50,中铁二十局集团房地产开发有限公司,重庆秦渝物业管理有限公司,2.0999999999999996,1.72,30.0
217,国兴北岸江山,江北,,50,重庆国兴置业有限公司,重庆财信物业管理有限公司,2.5,3.66,50.0
218,奥园越时代C区,南岸,,50,重庆奥誉置业有限公司,重庆穗奥物业服务有限公司,1.6,2.0,35.0
219,绿地城,大渡口,,50,重庆绿地申炎房地产开发有限公司,滨锋物业服务有限公司,2.5,2.5,35.0
220,上实海上海,北碚,,50,重庆海上海置业有限公司,重庆枫林秀水物业管理有限公司,1.9,1.82,35.0
221,东原九城时光,九龙坡,,50,南方东银置地有限公司,重庆新东原物业管理有限公司,2.5,3.7,30.0
222,大雅云居山,渝北,,50,重庆大雅地产有限公司,汇雅物业,2.2,2.99,32.0
223,江屿朗廷,渝中,,50,重庆骏建房地产开发有限公司,重庆市江宇物业管理有限公司,2.0,4.3,30.0
224,法蓝西莊邸蓝铂湾,南岸,,50,重庆广万房地产开发有限公司,重庆市迪泰物业管理有限公司,3.6,0.96,46.0
225,大川滨水城,江北,,50,重庆大川集团房地产开发有限公司,重庆大川物业管理有限公司,1.8,2.3,35.0
226,商社时代,渝中,,50,重庆商社投资有限公司,重庆鼎鹏物业,1.9,3.0,30.0
227,品鉴康养小镇,北碚,6500.0,50,重庆商社润物现代农业开发有限公司,重庆润冠物业管理有限公司,2.2,1.15,40.0
228,华宇金沙东岸,沙坪坝,,50,重庆业瑞房地产开发有限公司,重庆华宇物业服务有限公司,2.2,3.5,25.0
229,龙湖拉特芳斯,沙坪坝,,50,重庆龙湖嘉博地产发展有限公司,重庆新龙湖物业公司,3.1,2.21,30.0
230,祥豪维多利亚港湾,江津,,50,重庆祥豪置业有限公司,重庆祥豪物业有限公司,2.5,0.99,35.0
231,东旭御江湾,巴南,12000.0,50,东旭启德,龙湖物业,3.5,1.5,35.0
232,璧玉城,璧山,7800.0,50,重庆雅苑房地产开发有限公司,重庆富川物业管理服务有限公司,1.3,5.82,25.0
233,朗诗乐府,北碚,,50,上海朗诗投资管理有限公司,朗诗物管公司,3.15,1.56,35.0
234,澳海顺园公馆,涪陵,7000.0,50,重庆澳海汇渠房地产开发有限公司,沈阳澳海物业管理有限公司,1.7999999999999998,2.5,30.0
235,桓大东方国际,璧山,5700.0,50,重庆市桓大建设集团房地产开发有限公司,重庆桓威物业有限公司,1.0,3.2,50.0
236,卓越·中寰,九龙坡,21000.0,50,卓越置业集团重庆两江有限公司,卓越物业,3.5,3.5,25.0
237,首创天阅嘉陵,沙坪坝,15000.0,50,重庆首汇置业有限公司,北京首万物业服务有限公司重庆分公司,3.3,3.25,35.0
238,碧桂园东原合能千屿,南岸,17000.0,50,重庆市南岸区碧和原房地产开发有限公司,重庆东桂合物业公司,3.5,2.12,35.0
239,荣润半山国际,綦江,4600.0,50,重庆荣润置业有限公司,重庆君航物业管理有限公司,1.5,2.7,35.0
240,和记黄埔珊瑚水岸二期,南岸,,50,玉环县长江房地产实业有限公司,家利物业管理（重庆）有限公司,2.0,3.51,30.0
241,书香溪墅,沙坪坝,10000.0,50,重庆国夏房地产开发有限公司,重庆国瑞物业公司,2.35,1.55,35.0
242,长嘉汇一期,南岸,16000.0,50,重庆招商置地开发有限公司,招商局物业管理有限公司重庆分公司,2.9,3.98,36.0
243,万科金域蓝湾,渝北,,50,重庆勇拓置业有限公司,成都万科物业服务有限公司重庆分公司,3.35,2.3,35.0
244,光华安纳溪湖,南岸,13500.0,50,重庆华颂房地产开发有限公司,光华物业有限公司,3.5,1.5,39.0
245,美心江与江南,南岸,,50,重庆美心房地产开发有限公司,重庆美心物业管理有限公司,1.65,2.49,30.0
246,春语江山,渝中,21000.0,50,重庆春语实业(集团)有限公司,重庆云峰物业管理有限公司,3.5,3.0,38.0
247,华宇城,沙坪坝,,50,重庆华宇物业（集团）有限公司,重庆华宇物业服务有限公司,3.5,3.32,26.0
248,融景城,江北,24000.0,50,金融街重庆融拓置业有限公司,北京金融街第一太平戴维斯物业管理有限公司,3.0,4.65,30.0
249,棕榈泉悦江国际,渝北,22500.0,50,重庆棕榈泉长青置业有限公司,重庆棕榈泉联英物业服务有限公司,5.25,2.5,30.0
250,中昂嘉御湾,沙坪坝,,50,重庆中昂地产有限公司,中昂物业管理有限公司重庆分公司,1.8,3.46,30.0
251,金科天元道,渝北,17000.0,50,重庆市金科实业集团弘景房地产开发有限公司,重庆金科物业服务有限公司,3.25,2.71,30.0
252,北京城建龙樾湾,九龙坡,,50,北京城建重庆地产有限公司,北京城建重庆物业管理有限公司,2.0,1.8,30.0
253,金科中央华府,南岸,,50,重庆金科亿佳房地产开发有限公司,重庆金科物业管理公司,2.8,1.8,30.0
254,铭鑫鼎尚源,大渡口,,50,重庆铭鑫地产开发有限公司,重庆吉合物业管理有限公司,2.25,2.31,33.0
255,蓝光帕提欧,南岸,,50,重庆炜坤置业有限公司,重庆嘉宝顾问管理有限公司,2.5,3.0,30.0
256,金辉城耀江府,南岸,,50,重庆金辉长江房地产有限公司,重庆金辉锦江物业服务有限公司,3.5,1.35,35.0
257,融创滨江壹号,沙坪坝,,50,重庆融创阳煤朗裕置业有限公司,重庆融创物业管理有限公司,2.6,3.92,30.0
258,万科西城一期,九龙坡,,50,重庆林畔花园置业有限公司,成都万科物业服务有限公司重庆分公司,2.6,4.5,30.0
259,富力城书香里,沙坪坝,,50,重庆富力房地产开发有限公司,广州天力物业有限公司,2.1,2.52,30.0
260,观山御璟,南岸,12500.0,50,重庆渝锦悦房地产开发有限公司,新希望物业,2.6,2.16,35.0
261,万州恒大御景半岛,万州,8500.0,50,重庆恒永房地产开发有限公司,恒大地产集团金碧物业有限公司,2.95,1.48,30.0
262,融信澜湾,巴南,12000.0,50,重庆融永房地产开发有限公司,融信世欧物业管理集团有限公司,2.95,2.0,37.0
263,金沙玖悦,沙坪坝,,50,重庆昌熙房地产开发有限公司,上海永升物业管理有限公司重庆分公司,3.0,3.25,35.0
264,双福新鸥鹏拉菲公馆,江津,7500.0,70,重庆江鸥置业有限公司,重庆新鸥鹏物业管理（集团）有限公司,2.15,2.7,35.0
265,双福时代广场,江津,7300.0,50,重庆嘉飞置业有限公司,凌寓物业服务有限公司,1.8,3.0,30.0
266,恒大云湖上郡,渝北,10797.0,50,重庆航悦置业有限公司,金碧物业有限公司重庆分公司,4.05,0.97,35.0
267,卓越西麓九里,大渡口,14000.0,50,重庆寰宸房地产开发有限公司,卓越物业,3.2,2.0,35.0
268,联发君领西城,大渡口,15000.0,50,重庆联筑房地产开发有限公司,联发集团物业公司,3.2,2.0,40.0
269,碧桂园翡翠蓝山,南川,6600.0,50,重庆市南川区碧桂园悦碧房地产开发有限公司,广东碧桂园物业服务股份有限公司重庆南川分公司,2.3,2.43,35.0
270,蓝光水岸公园,巴南,9000.0,50,重庆蓝光和骏置业有限公司,嘉宝物业管理有限公司,2.9000000000000004,3.8,35.0
271,财信融创九阙府,南岸,18000.0,50,重庆信创置业有限公司,财信物业管理有限公司,3.3,1.5,30.0
272,金科博翠园,南岸,15000.0,50,重庆品锦悦房地产开发有限公司,金科物业,3.0,2.13,34.0
273,力帆翡翠华府,北碚,12500.0,50,重庆力帆置业有限公司,重庆渝宸物业服务有限公司,3.5,1.58,30.0
274,龙湖西宸原著,沙坪坝,13000.0,50,重庆龙湖拓骏地产发展有限公司,重庆龙湖物业管理有限公司,5.0,1.5,35.0
275,格力两江总部公园,江北,12500.0,50,格力地产股份有限公司,珠海格力地产物业服务股份有限公司,2.8,3.0,30.0
276,美的金科郡,沙坪坝,14000.0,50,重庆美科房地产开发有限公司,重庆美科房地产开发有限公司,3.5,2.16,35.0
277,荣盛滨江华府,巴南,,50,重庆荣盛鑫煜房地产开发有限公司,荣盛物业管理有限公司,2.65,1.9,35.0
278,中海天钻,渝北,,50,重庆中海兴城房地产开发有限公司,中海物业集团有限公司,5.5,3.0,30.0
279,清能小南海花园,巴南,,50,重庆清能置业有限公司,碧桂园物业管理有限公司,2.5,1.5,36.0
280,中国铁建香漫溪岸,璧山,7500.0,50,重庆合绘房地产开发有限公司,中铁十一局集团武汉物业管理有限公司重庆分公司,2.15,2.6,38.0
281,重庆中心,渝中,26500.0,50,重庆爱普地产集团有限公司,钓鱼台美高梅公司,7.0,8.73,30.0
282,阳光城新希望翡丽锦悦,巴南,9300.0,50,重庆光锦房地产开发有限公司,阳光城物业,2.8499999999999996,2.22,35.0
283,御临府,渝北,13000.0,50,重庆两江新区新榈实业有限公司,华宇第一太平戴维斯物业管理公司,3.2,2.08,35.0
284,融汇半岛天澜,巴南,13000.0,50,重庆融汇实业有限公司,重庆融汇物业管理有限公司,2.6,3.3,15.0
285,万科翡翠都会,渝中,,50,重庆捷创置业有限公司,万科物业有限公司,3.98,5.15,30.0
286,重庆蘭园,江北,29593.0,50,重庆绿城致臻房地产开发有限公司,绿城物业,4.7,2.5,35.0
287,金融街融府,沙坪坝,15000.0,50,金融街重庆融航置业有限公司,第一戴维斯,3.5,2.6,32.0
288,协信哈罗国际中国,渝北,13000.0,50,重庆远浦房地产开发有限公司,重庆天骄爱生活服务股份有限公司,3.5,1.23,50.0
289,龙湖春江天镜,巴南,15000.0,50,重庆龙湖朗骏房地产开发有限公司,重庆龙湖物业服务集团有限公司,2.8,2.98,30.0
290,天誉智慧城,南岸,18500.0,50,天誉置业（控股）有限公司,成都万科物业服务有限公司重庆分公司,2.92,3.81,30.0
291,巴滨一号璀璨滨江,巴南,11000.0,50,重庆赵李房地产开发有限公司,重庆欣意物业管理有限公司,3.2,2.5,30.0
292,中德时光岭,北碚,12000.0,50,重庆中德地产集团有限公司,重庆百佳润物业有限公司,3.15,1.9,30.0
293,观音桥25号,江北,18000.0,50,江田房地产开发有限公司,重庆市瑞源物业酒店管理有限公司,3.8,2.5,20.0
294,寿城水岸,长寿,4300.0,50,重庆乐至置业发展有限公司,特丽洁物业,1.3,3.96,31.0
295,中南玖宸,北碚,14000.0,50,重庆锦腾房地产开发有限公司,中南物业有限公司,2.85,2.5,30.0
296,金科联发東悦府,南岸,15000.0,50,重庆金江联房地产开发有限公司,重庆金科物业管理有限公司,3.0,2.1,35.0
297,中国铁建东林道,璧山,7000.0,50,重庆铁发房地产开发有限公司,重庆铁发物业管理有限公司,2.3,3.01,35.0
298,中建瑜和城,巴南,8900.0,50,中建信和地产有限公司,湖南中建物业服务有限公司（重庆分公司）,2.3,3.77,30.0
299,城海滨江春城,江津,8000.0,70,重庆城海实业发展有限公司,重庆城之海物业有限公司,2.5,1.5,38.0
300,重庆天安数码城江畔珑园,大渡口,,50,重庆天安数码城有限公司,天安物业重庆分公司,2.5,3.0,31.0
301,保利堂悦,南岸,14000.0,50,保利（重庆）投资实业有限公司,保利物业公司,3.5,1.44,30.0
302,京汉凤凰城,巴南,11000.0,50,重庆市汉基伊达置业有限公司,乐生活,2.4,3.71,37.0
303,金科集美郡,江津,7500.0,50,重庆御立置业有限公司,金科物业服务集团,2.4000000000000004,2.0,35.0
304,尚格锦园,渝北,,50,重庆尚格置业有限公司,重庆集美嘉铭物业公司,2.0,3.47,35.0
305,重庆湾1号,南岸,,40,重庆泰正集团有限公司,业主自筹物业,2.5,9.85,
306,朵力迎宾大道,大渡口,,50,重庆钢铁集团朵力房地产股份有限公司,重庆朵力物业管理有限公司,2.0,3.0,35.0
307,千威先生的洋房,渝北,,50,重庆千威地产有限公司,四川佳禾物业服务有限公司,2.0,2.0,35.0
308,渝开发上城时代,巴南,,50,重庆渝开发股份有限公司,重庆渝开发物业管理有限公司,1.2,3.7,35.0
309,中国核建紫金一品,南岸,,50,重庆核盛房地产开发有限公司,万科物业有限公司,2.9,3.82,36.0
310,阳光100喜马拉雅,南岸,30000.0,50,重庆渝能壹佰房地产开发有限公司,兰博基尼物业,10.0,3.75,43.0
311,金阳金佛山第一农场,南川,,70,重庆金阳房地产开发有限公司,碧桂园物业,3.5,1.0,30.0
312,北大资源江山名门,江北,17500.0,50,重庆盈丰地产有限公司,北大资源物业经营管理集团有限公司,2.09,2.25,39.0
313,鹅岭峯,渝中,35000.0,50,重庆鹅岭山房地产开发有限公司,万科物业有限公司,8.0,1.31,58.0
314,北京城建云熙台,九龙坡,,50,北京城建重庆地产有限公司,北京城建物业有限公司,2.6,0.73,30.0
315,华南城巴南华府,巴南,7800.0,50,重庆华南城有限公司,第一亚太有限公司,2.6,2.0,35.0
316,桃源居国际花园,渝北,13500.0,50,桃源居（重庆）房地产开发有限公司,世外桃源物业管理有限公司,2.0,0.66,60.0
317,协信天骄溪悦,巴南,,50,重庆远达房地产开发有限公司,重庆协信天骄物业管理公司,1.9,1.83,35.0
318,澳海御江苑,涪陵,7000.0,50,重庆澳海汇渠房地产开发有限公司,沈阳澳海物业管理有限公司,1.7999999999999998,2.3,30.0
319,铂悦澜庭,南岸,,50,重庆至元成方房地产开发有限公司,上海永升物业管理股份有限公司重庆分公司,3.15,3.02,35.0
320,金科黛山悦府,璧山,9000.0,50,重庆金帛藏房地产开发有限公司,重庆金科物业服务有限公司,2.5,2.0,35.0
321,保亿湖山鹿鸣,南岸,12000.0,50,保亿荣飞重庆房地产开发有限公司,浙江保亿物业服务股份有限公司重庆分公司,2.6,1.72,35.0
322,恒大山水城（涪陵）,涪陵,5600.0,50,恒大地产集团有限公司,金碧物业管理有限公司,1.6,2.2,35.0
323,新城朗隽大都会,渝北,18000.0,50,江苏新城悦控股有限公司,新城悦控股有限公司,3.5,2.11,30.0
324,招商雍璟城,渝北,14000.0,50,招商蛇口开发有限公司,招商物业服务有限公司,3.25,2.0,35.0
325,招商雍江府,巴南,9800.0,50,重庆招商依云房地产有限公司,招商局物业管理有限公司重庆分公司,2.5999999999999996,2.0,41.0
326,龙湖長滩原麓,渝北,,50,重庆两江新区龙湖新御置业发展有限公司,重庆新龙湖物业管理有限公司,3.8,1.0,35.0
327,龙湖春森彼岸五期,江北,22000.0,50,重庆北龙湖置地发展有限公司,重庆龙湖地产发展有限公司物业管理分公司,2.8,4.72,30.0
328,美的中骏云璟,渝北,13900.0,50,重庆美骏房地产开发有限公司,美的物业公司,3.3,1.92,50.0
329,大发熙悦書山境,巴南,10000.0,50,重庆融阙置业有限公司,大发物业管理有限公司,2.5,2.2,34.0
330,荣盛城,大渡口,11600.0,50,重庆荣钦房地产开发有限公司,荣盛物业,2.5,2.95,32.0
331,罗宾森广场尚城华府,渝中,,50,重庆罗宾森置业有限公司,住友创美物业,3.8,9.0,25.0
332,龙湖昱湖壹号,渝北,,50,重庆龙湖宜祥地产发展有限公司,重庆新龙湖物业服务有限公司,4.2,2.56,35.0
333,华润公园九里,渝北,17500.0,50,重庆天拓置业发展有限公司,华润物业管理公司,3.4000000000000004,1.5,33.0
334,金科金辉美院,北碚,14800.0,50,重庆金佳禾房地产开发有限公司,重庆金科物业管理有限公司,3.15,2.28,35.0
335,金科集美阳光,大渡口,13000.0,50,重庆金科兆基房地产开发有限公司,金科物业服务集团,2.75,3.0,35.0
